Node	Total SNPs	Num of SNPs inside recombinations	Num of SNPs outside recombinations	Num of Recombination Blocks	Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
TW20	108	0	108	0	45335	0.000000	0.000000	3043210	2997873
S7	73	0	73	0	45335	0.000000	0.000000	2900117	2854780
S38	91	0	91	0	45335	0.000000	0.000000	2957498	2912161
DEN907	18	0	18	0	60400	0.000000	0.000000	2938277	2879445
S26	24	0	24	0	64786	0.000000	0.000000	2932034	2868831
S2	24	0	24	0	64786	0.000000	0.000000	2932284	2869075
S78	29	6	23	1	64786	0.260870	0.043478	2932231	2869012
S40	2	0	2	0	0	0.000000	0.000000	2915781	2915781
S102	9	0	9	0	0	0.000000	0.000000	2915639	2915639
S93	0	0	0	0	0	0.000000	0.000000	2953062	2953062
S71	3	0	3	0	0	0.000000	0.000000	2950809	2950809
S85	23	0	23	0	29	0.000000	0.000000	2903889	2903889
S130	3	0	3	0	29	0.000000	0.000000	2916610	2916610
S87	4	0	4	0	29	0.000000	0.000000	2912107	2912107
Node_1	64	0	64	0	29	0.000000	0.000000	2918055	2918055
Node_2	66	6	60	1	29	0.100000	0.016667	2918606	2918606
Node_3	50	0	50	0	0	0.000000	0.000000	2916831	2916831
Node_4	0	0	0	0	0	0.000000	0.000000	2954157	2954157
Node_5	23	0	23	0	0	0.000000	0.000000	2954948	2954948
Node_6	0	0	0	0	0	0.000000	0.000000	2956273	2956273
Node_7	7	0	7	0	64786	0.000000	0.000000	2933223	2870004
Node_8	60	8	52	1	64786	0.153846	0.019231	2933462	2874625
Node_9	135	87	48	2	60400	1.812500	0.041667	2940056	2894719
Node_10	32	0	32	0	45335	0.000000	0.000000	2958681	2913344
Node_11	0	0	0	0	45335	0.000000	0.000000	2965595	2920258
Node_12	439	252	187	2	45335	1.347594	0.010695	3043210	3043210
Node_13	0	0	0	0	0	0.000000	0.000000	3043210	3043210
